"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6019","@smoke - cart displays added items","webkit","2026-06-06","passed","2026-06-06","Cart Page","ui/cart.spec.ts","",""
"","484","@regression - GET /users pagination - skip works correctly","api","2026-06-06","passed","2026-06-06","Users API","api/users.spec.ts","",""
"","151","@regression - limit parameter controls page size","api","2026-06-06","passed","2026-06-06","Users API","api/users.spec.ts","",""
"","643","@regression - login with invalid credentials returns 400","api","2026-06-06","passed","2026-06-06","Authentication API","api/auth.spec.ts","",""
"","148","@regression - PUT /users/:id updates user fully","api","2026-06-06","passed","2026-06-06","Users API","api/users.spec.ts","",""
"","2613","@regression - products sorted by price high-to-low","firefox","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","2228","@regression - invalid credentials shows error","firefox","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","1170","@smoke - login form is visible","chromium","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","148","@regression - user object schema is valid","api","2026-06-06","passed","2026-06-06","Users API","api/users.spec.ts","",""
"","1793","@smoke - add item to cart updates badge count","chromium","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","2718","@smoke - successful login with standard user","webkit","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","2842","@regression - navigate to cart page","firefox","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","3200","@regression - products sorted by price high-to-low","webkit","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","161","@regression - GET /users/search returns matching users","api","2026-06-06","passed","2026-06-06","Users API","api/users.spec.ts","",""
"","156","@smoke - POST /users/add creates a new user","api","2026-06-06","passed","2026-06-06","Users API","api/users.spec.ts","",""
"","2692","@regression - products sorted by price low-to-high","firefox","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","1080","@regression - empty username shows required error","chromium","2026-06-06","passed","2026-06-06","Login Page","ui/login.spec.ts","",""
"","3599","@regression - navigate to cart page","webkit","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
"","1791","@regression - remove item from cart","chromium","2026-06-06","passed","2026-06-06","Inventory Page","ui/inventory.spec.ts","",""
